id,name,description,category,subcategory,parent_skill_name,synonyms,is_active,created_at,updated_at
04d0186e-ff7f-4fc2-b237-c257fe4eb16e,Communication (Defensive),Talking and signaling to coordinate defensive actions.,Defense,Core,Core Defense,"[""talk"",""call out""]",true,2025-06-02 01:23:14.416585,2025-06-02 01:23:14.416585
04d17e4f-111f-4bcf-95b6-85de04765737,Low Catch,Catching passes near feet or below knees.,Technique,Catching,Catching,"[""low ball"",""scoop catch""]",true,2025-06-02 03:11:47.033491,2025-06-02 03:11:47.033491
04fe3301-97da-4091-9fa4-b9c34e0a65b0,Screening in Transition,Using screens during early offense or fast breaks.,Constraint,Screen Usage,Screen Usage,"[""transition screen"",""early screen""]",true,2025-06-02 03:09:37.081202,2025-06-02 03:09:37.081202
0520e0be-da0c-4fd1-8565-ae9df21c9d2a,Catch and Land,Catching and coming to a controlled stop.,Technique,Catching,Catching,"[""land"",""stick""]",true,2025-06-02 03:11:47.033491,2025-06-02 03:11:47.033491
059266e9-fbc5-46c8-b2c0-f5aaf6035b3c,Step Through,Using pivot and step to get around defender.,Technique,Finishing,Finishing,"[""step thru"",""pivot finish""]",true,2025-06-02 02:59:53.045159,2025-06-02 02:59:53.045159
05e37f8f-4047-4c6a-932b-e0963441afa7,Halfcourt Defense,Defending when set in halfcourt.,Constraint,Defense,Defense,"[""half-court"",""set defense""]",true,2025-06-02 03:07:51.188187,2025-06-02 03:07:51.188187
05e9a3a9-1c92-44c4-9389-86e1958a1948,Pocket Pass,"Quick, short pass off dribble in tight spaces.",Technique,Passing,Passing,"[""pocket"",""pocket bounce""]",true,2025-06-02 02:57:48.80719,2025-06-02 02:57:48.80719
07681ac4-931b-4a11-909b-b252f113c4bc,Landing Technique,Controlled landing for safety and balance.,Technique,Footwork,Footwork,"[""landing"",""safe land""]",true,2025-06-02 03:18:45.342549,2025-06-02 03:18:45.342549
0779d281-529b-425b-9ff2-c22df22195e3,Wide Stance Shots,Shooting with wide stance to challenge balance.,Technique,Calibration,Calibration Drills,"[""wide base shooting""]",true,2025-06-02 02:51:14.295733,2025-06-02 02:51:14.295733
0923d819-2501-4276-a571-f387554aa65b,Read Advantage,Recognizing when you or your team has an advantage or numbers.,Perception,Decision-Making,Decision-Making,"[""advantage read"",""numbers read""]",true,2025-06-02 03:15:56.462317,2025-06-02 03:15:56.462317
092bb90d-06e4-4126-8b2c-78a3de2497d1,Resilience,Ability to recover from setbacks and keep effort high.,Attribute,Mental,Attribute,"[""bounce back"",""grit""]",true,2025-06-02 01:25:58.659026,2025-06-02 01:25:58.659026
09e20481-5258-4a00-9ac2-f2d6004eda56,Jump Stop,Two-foot landing for balance and control.,Technique,Footwork,Footwork,"[""two-foot stop"",""stick landing""]",true,2025-06-02 03:18:45.342549,2025-06-02 03:18:45.342549
09ffd0d2-e12a-47c1-96c6-2b5e0fce810f,On-Ball Screen Usage,Using or setting screens directly involving the ball.,Constraint,Screen Usage,Screen Usage,"[""ball screen"",""PNR""]",true,2025-06-02 03:09:37.081202,2025-06-02 03:09:37.081202
0ad60693-9623-4cf6-8634-b6d2b52f1830,Non-Verbal,"Signals, eye contact, and body language to convey intentions.",Communication,Non-Verbal,Communication,"[""signal"",""gesture""]",true,2025-06-02 01:24:30.652644,2025-06-02 01:24:30.652644
0b43e8ba-1559-4412-b601-33f4d6d35a26,Switch,Switch assignments on the screen.,Defense,Action,Ball Screen Coverage,"[""switch""]",true,2025-06-02 01:23:14.416585,2025-06-02 01:23:14.416585
0b589705-2c32-4930-ae89-6f0460db0f63,Pick and Roll,Ball screen action to force defensive decisions.,Offense,Halfcourt,Actions,"[""pnr"",""screen-roll""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
0b90420a-f8a1-432f-9c2f-8576816d4877,Next Action Recognition,Anticipating the best next play in sequence.,Offense,Decision,Decision-Making,"[""next play"",""anticipation""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
0bae8191-bbc9-499f-bd08-51b61a92c56e,Catch and Rip,Catching and attacking immediately off the catch.,Technique,Catching,Catching,"[""rip"",""attack on catch""]",true,2025-06-02 03:11:47.033491,2025-06-02 03:11:47.033491
0bb5e811-6d47-4363-9775-a5fe692223ef,Go/No-Go Decision,Choosing to commit or pull back on a movement or cut.,Decision,Movement/Agility,Movement/Agility,"[""go or stay"",""commitment""]",true,2025-06-02 03:13:39.62198,2025-06-02 03:13:39.62198
0bb630f7-572f-4e2c-af22-312234228374,Read Help,Identifying help defense and potential traps.,Perception,On-Ball,Ball Handling,"[""help read"",""trap read""]",true,2025-06-02 02:39:00.036313,2025-06-02 02:39:00.036313
0bc52234-95cd-425f-a352-3317c22e273b,Change of Pace,Altering tempo to manage energy and surprise opponent.,Technique,Conditioning,Conditioning,"[""tempo shift"",""pace change""]",true,2025-06-02 03:23:35.601465,2025-06-02 03:23:35.601465
0c3e6667-a5f7-44dd-b5d3-3c33dd6f4e69,Euro Step,Side-step move with feet for finishing.,Technique,Footwork,Footwork,"[""euro"",""side step""]",true,2025-06-02 03:18:45.342549,2025-06-02 03:18:45.342549
0c832e5a-1dc4-46be-bebe-b809b80ac9e4,Post Denial,Preventing entry passes to the post.,Technique,Defense,Defense,"[""deny post"",""post deny""]",true,2025-06-02 03:07:51.188187,2025-06-02 03:07:51.188187
0caccfdd-a8fb-45a7-865d-170ba36c0426,Rim Protection,Protecting the basket from easy scores.,Defense,Transition,Transition Defense,"[""stop layup"",""protect rim""]",true,2025-06-02 01:23:14.416585,2025-06-02 01:23:14.416585
0ce9da53-460b-4acb-9d97-2866fe2c586c,Cutting,Moving without the ball to open scoring opportunities.,Offense,Halfcourt,Actions,"[""cuts"",""off-ball movement""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
0d19240a-28da-4691-8ed5-fbf43da71141,Finishing Under Fatigue,Maintaining touch and power when tired.,Constraint,Finishing,Finishing,"[""fatigue finish"",""tired scoring""]",true,2025-06-02 02:59:53.045159,2025-06-02 02:59:53.045159
0e8a3da4-ce3c-4821-a245-78bf56ea8cef,Play Calls,Announcing set plays or actions.,Technique,Communication,Communication,"[""play call"",""call play""]",true,2025-06-02 03:21:46.511482,2025-06-02 03:21:46.511482
0f0de815-6859-4f9a-8f9c-65f21765c5ef,One-Handed Rebound,Securing rebound with one hand for reach or control.,Technique,Rebounding,Rebounding,"[""one hand"",""one arm""]",true,2025-06-02 03:01:40.219259,2025-06-02 03:01:40.219259
106bbf52-aa00-41bc-b178-24553fe47643,Last Possession Defense,Critical stops for final possession situations.,Constraint,Defense,Defense,"[""final stop"",""last stand""]",true,2025-06-02 03:07:51.188187,2025-06-02 03:07:51.188187
10aa711f-2f89-4a6b-a098-0b1d25e81d8a,Chest Pass,"Two-handed, direct passes from the chest.",Offense,Passing,Passing,"[""chest""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
10ca7971-2982-4a99-9131-7eeb24495210,Offensive Communication,"Coordinating offense with play calls, action cues, and situational reminders.",Communication,Offensive,Communication,"[""offense talk"",""play call""]",true,2025-06-02 01:24:30.652644,2025-06-02 01:24:30.652644
10e9775c-fad7-4b35-ab1b-22920463ae9b,Outlet/Push Decision,Deciding to outlet pass or initiate push dribble after rebounding.,Decision,Rebounding,Rebounding,"[""outlet or push"",""transition choice""]",true,2025-06-02 03:01:40.219259,2025-06-02 03:01:40.219259
1135d8f9-968b-4034-bcdd-aa4c96788949,Stretching/Mobility,Maintaining flexibility and range of motion.,Technique,Conditioning,Conditioning,"[""stretch"",""mobility""]",true,2025-06-02 03:23:35.601465,2025-06-02 03:23:35.601465
12d37e32-4234-4e84-a8cf-f3dd6b59b698,Gap/Stunt,Momentarily helping before recovering.,Technique,Defense,Defense,"[""stunt"",""gap help""]",true,2025-06-02 03:07:51.188187,2025-06-02 03:07:51.188187
1439eb5b-12cb-489c-9891-db6dad1a0f40,Land and Hold Decision,Deciding whether to land and hold or keep moving after catch.,Decision,Catching,Catching,"[""land or flow"",""hold decision""]",true,2025-06-02 03:11:47.033491,2025-06-02 03:11:47.033491
14a80a8d-fd0d-425d-a04e-990237045ed7,Hip Taps,Tapping hip as part of shot prep and sequencing.,Technique,Calibration,Calibration Drills,"[""hip tap drill""]",true,2025-06-02 02:51:14.295733,2025-06-02 02:51:14.295733
14d0c5d4-5928-4090-aa13-027c9f9a87bb,Hook Pass,Pass using a hook motion over or around defender.,Technique,Passing,Passing,"[""hook"",""hook pass""]",true,2025-06-02 02:57:48.80719,2025-06-02 02:57:48.80719
14ed199c-9cd7-4f95-a4c7-5e1ff64b2048,Flare,Off-ball screen for shooter fading away from the ball.,Offense,Halfcourt,Actions,"[""flare screen""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
15e4f5c7-6f04-4478-bdca-07fababcec4e,Catching After Tip/Deflection,Recovering tipped or deflected balls.,Constraint,Catching,Catching,"[""tip recovery"",""deflection catch""]",true,2025-06-02 03:11:47.033491,2025-06-02 03:11:47.033491
169a7bb1-5b1f-48fc-88ab-87e71aebee29,Change of Direction,Altering dribble path to beat defenders.,Offense,Creation,Dribble Penetration,"[""crossover"",""spin""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
16d46d0b-449a-4194-9586-45dac81fd544,Zero-Second Decision,Making a decision immediately upon receiving the ball.,Technique,Decision-Making,Decision-Making,"[""0.5s"",""no pause""]",true,2025-06-02 03:15:56.462317,2025-06-02 03:15:56.462317
17040baa-effd-4e7a-b6bc-b6c9881216ee,1-2 Step,Classic staggered footwork for shooting or attacking.,Technique,Footwork,Footwork,"[""stagger step"",""shot footwork""]",true,2025-06-02 03:18:45.342549,2025-06-02 03:18:45.342549
1885cf8a-9f46-4f44-8251-6842c5753c04,Passing,Moving the ball to teammates in all situations.,Offense,Passing,Offense,"[""pass""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
18f679df-46bc-46ab-91a1-0bbf83309d4f,Creation,Generating scoring chances by attacking the defense.,Offense,Creation,Offense,"[""create"",""initiation""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
192c234b-4070-49a6-8d1e-d34f9b11055a,Jab Step,Quick fake to move defender and create space.,Technique,Footwork,Footwork,"[""jab"",""jab fake""]",true,2025-06-02 03:18:45.342549,2025-06-02 03:18:45.342549
19897ea0-0bd9-4038-af57-a52c8d21ba84,Spin Move,Rotational move for evasion or finishing.,Technique,Footwork,Footwork,"[""spin"",""spin turn""]",true,2025-06-02 03:18:45.342549,2025-06-02 03:18:45.342549
19987402-c629-491c-8028-4fb8680cbb62,Read Space,"Awareness of landing area, sideline, or out-of-bounds on the catch.",Perception,Catching,Catching,"[""space read"",""court awareness""]",true,2025-06-02 03:11:47.033491,2025-06-02 03:11:47.033491
19e64acb-f045-466f-9882-7970aaef1e72,Containment,Preventing drives into the paint.,Defense,Halfcourt,Halfcourt Defense,"[""contain"",""keep out""]",true,2025-06-02 01:23:14.416585,2025-06-02 01:23:14.416585
1a319339-47a9-471c-9de6-5c735db46a47,Communication After Turnover,Resetting and communicating following a lost possession.,Constraint,Communication,Communication,"[""turnover talk"",""reset cue""]",true,2025-06-02 03:21:46.511482,2025-06-02 03:21:46.511482
1ab3c4a2-460a-40d4-a310-ce132a2e8319,Runner,"One-foot, on-the-move finish.",Technique,Finishing,Finishing,"[""push shot"",""moving floater""]",true,2025-06-02 02:59:53.045159,2025-06-02 02:59:53.045159
1ab7de3c-9a7e-4a81-ba1b-bde39c67fd53,Finishing After Contact,Staying balanced and scoring after absorbing a hit.,Constraint,Finishing,Finishing,"[""post-contact"",""after bump""]",true,2025-06-02 02:59:53.045159,2025-06-02 02:59:53.045159
1c4dd019-c7da-4fc5-88cd-0f70999a5a59,Spot-up Shooting,"Stationary, catch-and-shoot situations.",Offense,Shooting,Shooting,"[""spot up"",""set shot""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
1e2ac810-2551-4264-8e82-e8218bb7f92f,Conditioning in Transition,Keeping fitness in open-court or high-speed situations.,Constraint,Conditioning,Conditioning,"[""transition run"",""break conditioning""]",true,2025-06-02 03:23:35.601465,2025-06-02 03:23:35.601465
1eda74db-b0b9-4ffd-ab2b-fb8f62406d42,In-Game Recovery,"Recovering quickly during play (timeouts, stoppages, etc.).",Constraint,Conditioning,Conditioning,"[""in-game rest"",""active recovery""]",true,2025-06-02 03:23:35.601465,2025-06-02 03:23:35.601465
1f90e583-4165-457d-95af-55ea778586f7,Change of Direction Decision,"Choosing when/how to cut, plant, or re-route movement.",Decision,Movement/Agility,Movement/Agility,"[""cut decision"",""re-route""]",true,2025-06-02 03:13:39.62198,2025-06-02 03:13:39.62198
204bd648-1cd2-4c67-9cd4-fef34cfe861e,Decision-Making Under Pressure,Making the best play against aggressive defense or traps.,Constraint,Decision-Making,Decision-Making,"[""pressure decision"",""tough read""]",true,2025-06-02 03:15:56.462317,2025-06-02 03:15:56.462317
2156e5f9-97fa-4dc3-bc2a-8e8578019519,Read Rim Protector,Recognizing and reacting to shot blocker’s position and timing.,Perception,Finishing,Finishing,"[""rim read"",""blocker awareness""]",true,2025-06-02 02:59:53.045159,2025-06-02 02:59:53.045159
22baa249-9905-4637-b9ed-a6dcd9a8eaca,Force Wide,Forcing the ball handler toward the sideline.,Defense,Transition,Transition Defense,"[""force side"",""funnel""]",true,2025-06-02 01:23:14.416585,2025-06-02 01:23:14.416585
23e45049-8545-4bfd-8f2f-cee9b6466691,Hand Up/Contest,Raising hand to contest shot or pass.,Technique,Defense,Defense,"[""hand up"",""contest""]",true,2025-06-02 03:07:51.188187,2025-06-02 03:07:51.188187
242aaa54-6345-40cc-bc7a-c95b3a3de21f,Trap/Release Decision,Choosing to double-team or drop back.,Decision,Defense,Defense,"[""trap or release"",""double team""]",true,2025-06-02 03:07:51.188187,2025-06-02 03:07:51.188187
244f4d2f-9b9b-4a1e-a97e-3acc5777e683,Composure,Ability to stay calm and make decisions under pressure.,Attribute,Mental,Attribute,"[""poise"",""steadiness""]",true,2025-06-02 01:25:58.659026,2025-06-02 01:25:58.659026
249b4b8f-80b7-4bdb-aa97-51474f094017,Catching Off the Lob,Catching high passes or alley-oops.,Constraint,Catching,Catching,"[""lob catch"",""high grab""]",true,2025-06-02 03:11:47.033491,2025-06-02 03:11:47.033491
24df7416-393b-4cb1-a0e5-c894bc34f45a,Block Attempt,Contesting or blocking a shot legally.,Technique,Defense,Defense,"[""block"",""contest shot""]",true,2025-06-02 03:07:51.188187,2025-06-02 03:07:51.188187
24ede843-5eaa-4b9f-9c84-327fe4b6239a,Disruption,"Forcing turnovers, deflections, and steals.",Defense,Core,Core Defense,"[""turnovers"",""deflections"",""steals""]",true,2025-06-02 01:23:14.416585,2025-06-02 01:23:14.416585
25dc880d-9fbf-4015-8285-c9bb6d51dcf0,Sprint Back,Getting back quickly to stop fast breaks.,Defense,Transition,Transition Defense,"[""run back"",""sprint""]",true,2025-06-02 01:23:14.416585,2025-06-02 01:23:14.416585
261417a4-6c29-4f3b-b30a-41e48fdfaadb,Shuffle/Lateral Slide,Lateral movement for defense or changing angle.,Technique,Movement/Agility,Movement/Agility,"[""slide"",""lateral""]",true,2025-06-02 03:13:39.62198,2025-06-02 03:13:39.62198
26329a98-d9ba-4b8b-a2be-0842a933db54,Ball Movement,Moving the ball to shift defense and create open shots.,Offense,Core,Offense,"[""passing"",""swing""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
26779c66-c0a5-4971-8dea-5f99c4e0d43c,Read Defender,"Recognizing how defender plays the screen (over, under, switch, etc.).",Perception,Screen Usage,Screen Usage,"[""defender read"",""coverage read""]",true,2025-06-02 03:09:37.081202,2025-06-02 03:09:37.081202
26b7e239-0985-4bfd-aae2-cdd1dec04a8d,Catching Out of Double Team,Receiving pass under double team pressure.,Constraint,Catching,Catching,"[""double catch"",""split catch""]",true,2025-06-02 03:11:47.033491,2025-06-02 03:11:47.033491
26ba780b-c719-4dde-8ebf-83cf40e469e9,Movement in Traffic,Agility and control in crowded spaces.,Constraint,Movement/Agility,Movement/Agility,"[""traffic move"",""crowded lane""]",true,2025-06-02 03:13:39.62198,2025-06-02 03:13:39.62198
275753fa-0917-4b2b-ac81-24cec8a4b201,Finishing in Transition,Scoring on the move before defense is set.,Offense,Finishing,Finishing,"[""transition finish""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
2842c9bc-5c75-4ebc-80d4-d508d00d2b42,Conditioning After Injury,Regaining fitness and confidence post-injury.,Constraint,Conditioning,Conditioning,"[""return to play"",""injury comeback""]",true,2025-06-02 03:23:35.601465,2025-06-02 03:23:35.601465
28dd16b5-da73-41e1-b33a-8dded8bbfce4,Floaters,"Short-range, high-arc shots over defenders.",Offense,Finishing,At the Rim,"[""runner"",""floater""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
2906d56a-0174-41dd-8112-2e2bbac8ad81,Ram,Backscreen for a screener before on-ball screen.,Offense,Halfcourt,Actions,"[""ram action""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
2927638c-775c-4001-beaa-6383c23093e5,Wall Up,Building a wall to slow the ball in transition.,Defense,Transition,Transition Defense,"[""wall"",""wall defense""]",true,2025-06-02 01:23:14.416585,2025-06-02 01:23:14.416585
292bdf55-f622-46d9-bc2e-565cb1f475d3,Cross Step,Step across body to change angle or attack.,Technique,Footwork,Footwork,"[""cross"",""cross-over step""]",true,2025-06-02 03:18:45.342549,2025-06-02 03:18:45.342549
293afe09-92d2-4de2-8a20-a9cccdae42a5,Pivot and Go,Using a pivot to set up an immediate movement.,Technique,Movement/Agility,Movement/Agility,"[""pivot"",""turn and go""]",true,2025-06-02 03:13:39.62198,2025-06-02 03:13:39.62198
2973cdbb-473e-40c0-82d8-39ea1dd6fdb7,Actions,Standard offensive actions to create movement/advantages.,Offense,Halfcourt,Halfcourt Offense,"[""actions"",""hurdles""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
2a67edca-627b-4e48-8cc5-cc68439d65f0,Euro Step,Side-step move to avoid defender.,Technique,Movement/Agility,Movement/Agility,"[""euro"",""side step""]",true,2025-06-02 03:13:39.62198,2025-06-02 03:13:39.62198
2accff09-2df4-4423-bd6f-114fa6dfb312,Rebounding Under Pressure,Securing rebounds against aggressive or multiple opponents.,Constraint,Rebounding,Rebounding,"[""pressure rebound"",""scramble board""]",true,2025-06-02 03:01:40.219259,2025-06-02 03:01:40.219259
2b54b803-1911-4528-88a1-7bd19c60d197,Plant and Cut,Planting foot and changing direction sharply.,Technique,Movement/Agility,Movement/Agility,"[""plant"",""hard cut""]",true,2025-06-02 03:13:39.62198,2025-06-02 03:13:39.62198
2b7531c6-2f4f-4c07-ab67-9becb990d496,Rest/Recovery Decision,Choosing to use stoppage or downtime to recover.,Decision,Conditioning,Conditioning,"[""rest decision"",""recovery choice""]",true,2025-06-02 03:23:35.601465,2025-06-02 03:23:35.601465
2b773f43-6e80-4f81-b2cb-e0ec64f5ee35,Decision-Making vs. Zone,Reading and making plays against zone defense.,Technique,Decision-Making,Decision-Making,"[""zone decision"",""zone read""]",true,2025-06-02 03:15:56.462317,2025-06-02 03:15:56.462317
2b8ec67d-ad1e-4a8b-a7e7-27bb69e1ea71,Behind the Back Execution,Executing a behind-the-back dribble for protection or change of direction.,Technique,Ball Handling,Ball Handling,"[""behind back"",""BTB dribble""]",true,2025-06-02 02:39:00.036313,2025-06-02 02:39:00.036313
2bac581e-a742-4063-9a02-bc7a738fc7d2,Shooting,Scoring from distance with proper mechanics and decision making.,Core Skill,Shooting,,"[""jump shot"",""shot""]",true,2025-06-02 02:51:14.295733,2025-06-02 02:51:14.295733
2be751f3-dd87-410f-a275-228090b8ec2a,Floater,High-arching shot over shot blockers.,Technique,Finishing,Finishing,"[""runner"",""teardrop""]",true,2025-06-02 02:59:53.045159,2025-06-02 02:59:53.045159
2c00921f-c038-4171-ace8-f34059838844,Drop Step,Pivot step to cut off driving lanes.,Technique,Defense,Defense,"[""drop"",""cut off""]",true,2025-06-02 03:07:51.188187,2025-06-02 03:07:51.188187
2c31d068-47b5-4ce3-9c4b-57c2005271a9,Passing Through Contact,Maintaining accuracy while being bumped or pressured.,Technique,Passing,Passing,"[""contact pass"",""tough pass""]",true,2025-06-02 02:57:48.80719,2025-06-02 02:57:48.80719
2c8319ad-6cb6-4ab3-8ae9-9042f12dfc78,Decision-Making,"Making the best choice in real time based on game context, coverage, and advantage.",Core Skill,Decision-Making,,"[""decisions"",""reads""]",true,2025-06-02 03:15:56.462317,2025-06-02 03:15:56.462317
2d1da08f-6dd1-4773-ac5a-f7cf4cf9c8d0,Early Offense Reads,Reading defense quickly to make optimal decisions in transition.,Offense,Transition,Transition Offense,"[""early read"",""quick decision""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
2d22e381-9849-4f31-be79-3a3e7f2f1372,Echoing/Repeating Calls,Repeating calls so all teammates hear.,Technique,Communication,Communication,"[""echo"",""repeat""]",true,2025-06-02 03:21:46.511482,2025-06-02 03:21:46.511482
2d4bf297-b37b-4049-b632-f43ca903b76d,Catch Through Contact,Securing the ball despite contact or bump.,Technique,Catching,Catching,"[""contact catch"",""strong hands""]",true,2025-06-02 03:11:47.033491,2025-06-02 03:11:47.033491
2d645b5a-3fe3-4ca0-8721-0eada7366216,Catch and Pivot,Catching and pivoting to face or create angle.,Technique,Catching,Catching,"[""pivot"",""turn""]",true,2025-06-02 03:11:47.033491,2025-06-02 03:11:47.033491
2dc8f802-44f3-4431-a04a-d5a785627744,Passing on the Move,Passing in transition or on fast break.,Technique,Passing,Passing,"[""transition pass"",""fast break pass""]",true,2025-06-02 02:57:48.80719,2025-06-02 02:57:48.80719
2ed2c3dc-2bce-4070-ae1c-9aebc4a64539,Sprinting,Full-speed running to create numerical or spatial advantage.,Offense,Transition,Transition Offense,"[""run lanes""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
2fabbf15-9b05-46d3-a5db-6e681c621b9b,Finishing in Transition,Completing plays on the move before defense is set.,Constraint,Finishing,Finishing,"[""fast break finish"",""open court finish""]",true,2025-06-02 02:59:53.045159,2025-06-02 02:59:53.045159
3062c48b-7bad-434a-807b-c926deaaa755,Grip,Proper hand and finger placement on the basketball.,Technique,Shooting,Shooting,"[""hand placement"",""grip""]",true,2025-06-02 02:51:14.295733,2025-06-02 02:51:14.295733
307ba20d-49fb-417e-ab19-147c71444706,Arrive With Advantage,Establishing offensive advantage before halfcourt.,Offense,Transition,Transition Offense,"[""attack before set"",""advantage early""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
30a72960-d8e4-42ea-86ce-d8b09c242e3e,Screen Angle,Adjusting angle of screen to manipulate defender.,Technique,Screen Usage,Screen Usage,"[""angle"",""screen angle""]",true,2025-06-02 03:09:37.081202,2025-06-02 03:09:37.081202
31742805-7a02-4dc8-ac07-d45e0ab367ff,Communication,Exchanging information verbally or non-verbally to coordinate play and awareness.,Core Skill,Communication,,"[""talk"",""cue"",""signal""]",true,2025-06-02 03:21:46.511482,2025-06-02 03:21:46.511482
319e06c1-07c7-4143-b431-e07e34b69154,Communication Under Pressure,Communicating clearly in chaos or endgame.,Technique,Communication,Communication,"[""pressure talk"",""chaos call""]",true,2025-06-02 03:21:46.511482,2025-06-02 03:21:46.511482
31e5cfa6-c383-4e1e-9b24-dc3ee50a7c38,Catching Near Sideline/Baseline,Maintaining possession while close to out-of-bounds.,Constraint,Catching,Catching,"[""sideline catch"",""baseline grab""]",true,2025-06-02 03:11:47.033491,2025-06-02 03:11:47.033491
32da2415-0e8b-4b1a-a000-011644863e02,Off 1 or 2 Feet Decision,Deciding when to jump off one or two feet to finish.,Decision,Finishing,Finishing,"[""1 or 2 feet"",""footwork choice""]",true,2025-06-02 02:59:53.045159,2025-06-02 02:59:53.045159
33839b8a-340b-4e48-9974-cb0f2a33a58e,Emotional Regulation,Managing emotions and responses during pressure or adversity.,Attribute,Mental,Attribute,"[""self-control"",""composure""]",true,2025-06-02 01:25:58.659026,2025-06-02 01:25:58.659026
342299d5-d4b0-440a-8dd2-bc9707c0ad45,Shooting Under Pressure,"Shooting contested, late clock, or under physical duress.",Constraint,Shooting,Shooting,"[""contested shot"",""pressure shooting""]",true,2025-06-02 02:51:14.295733,2025-06-02 02:51:14.295733
34ba8101-0da0-4728-9277-8844ef2e62c0,Finishing vs Shot Blockers,Strategies to finish around rim protectors.,Offense,Finishing,Finishing,"[""avoid block"",""high finish""]",true,2025-06-02 01:21:48.252644,2025-06-02 01:21:48.252644
34bd5be7-4497-42bc-b033-2ec71e24493a,Late Clock Screening,Screening actions in final seconds of clock.,Constraint,Screen Usage,Screen Usage,"[""late clock"",""end clock screen""]",true,2025-06-02 03:09:37.081202,2025-06-02 03:09:37.081202
360aa4b7-81e9-4d6e-9aad-137fc49d89df,Two-Handed Rebound,Securing rebound with both hands for strength/control.,Technique,Rebounding,Rebounding,"[""two hand"",""secure""]",true,2025-06-02 03:01:40.219259,2025-06-02 03:01:40.219259
387865fb-02c0-4d5d-b663-0641ddadfa6f,Ball Screen Coverage: Drop,"Big plays back, guards two on pick and roll.",Technique,Defense,Defense,"[""drop"",""drop coverage""]",true,2025-06-02 03:07:51.188187,2025-06-02 03:07:51.188187
